EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2030,WS2040,WS2050,WS2060,WS2070,WS2080
637,255,"COUNTY-OTHER, TOM GREEN",MUNICIPAL,F,TOM GREEN,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | TOM GREEN",360,361,360,360,361,360
637,364,"COUNTY-OTHER, TOM GREEN",MUNICIPAL,F,TOM GREEN,N,HICKORY AQUIFER | MCCULLOCH,106,119,111,109,100,95
637,408,"COUNTY-OTHER, TOM GREEN",MUNICIPAL,F,TOM GREEN,N,LIPAN AQUIFER | TOM GREEN,1210,1571,1899,2213,2543,2888
637,507,"COUNTY-OTHER, TOM GREEN",MUNICIPAL,F,TOM GREEN,N,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,51,45,42,37,34,30
637,658,"COUNTY-OTHER, TOM GREEN",MUNICIPAL,F,TOM GREEN,N,COLORADO RUN-OF-RIVER,6,6,6,3,3,3
638,79,"COUNTY-OTHER, TRAVIS",MUNICIPAL,K,TRAVIS,N,CARRIZO-WILCOX AQUIFER | BURLESON,283,274,265,256,246,246
638,368,"COUNTY-OTHER, TRAVIS",MUNICIPAL,K,TRAVIS,N,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,9570,9570,9570,9570,9570,9570
638,587,"COUNTY-OTHER, TRAVIS",MUNICIPAL,K,TRAVIS,N,OTHER AQUIFER | TRAVIS,112,112,112,112,112,112
638,805,"COUNTY-OTHER, TRAVIS",MUNICIPAL,K,TRAVIS,N,TRINITY AQUIFER | TRAVIS,4451,4451,4451,4451,4451,4451
639,410,"COUNTY-OTHER, TRINITY",MUNICIPAL,H,TRINITY,Y,LIVINGSTON-WALLISVILLE LAKE/RESERVOIR SYSTEM,511,511,511,511,511,511
639,588,"COUNTY-OTHER, TRINITY",MUNICIPAL,I,TRINITY,Y,OTHER AQUIFER | TRINITY,120,117,115,114,114,114
639,868,"COUNTY-OTHER, TRINITY",MUNICIPAL,H,TRINITY,Y,YEGUA-JACKSON AQUIFER | TRINITY,41,39,36,35,33,31
639,1104,"COUNTY-OTHER, TRINITY",MUNICIPAL,H,TRINITY,Y,GULF COAST AQUIFER SYSTEM | TRINITY,74,69,65,61,58,55
640,341,"COUNTY-OTHER, TYLER",MUNICIPAL,I,TYLER,N,GULF COAST AQUIFER SYSTEM | TYLER,790,670,555,457,353,241
641,16,"COUNTY-OTHER, UPSHUR",MUNICIPAL,D,UPSHUR,N,BIG SANDY CREEK LAKE/RESERVOIR,40,40,40,40,40,40
641,125,"COUNTY-OTHER, UPSHUR",MUNICIPAL,D,UPSHUR,N,CARRIZO-WILCOX AQUIFER | UPSHUR,351,351,351,351,351,351
641,288,"COUNTY-OTHER, UPSHUR",MUNICIPAL,D,UPSHUR,N,GLADEWATER LAKE/RESERVOIR,112,112,112,112,112,112
641,413,"COUNTY-OTHER, UPSHUR",MUNICIPAL,D,UPSHUR,N,LOMA LAKE/RESERVOIR,400,400,400,400,400,400
641,640,"COUNTY-OTHER, UPSHUR",MUNICIPAL,D,UPSHUR,N,QUEEN CITY AQUIFER | UPSHUR,931,1031,1031,1056,1082,1082
642,256,"COUNTY-OTHER, UPTON",MUNICIPAL,F,UPTON,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | UPTON",108,110,110,106,100,92
643,216,"COUNTY-OTHER, UVALDE",MUNICIPAL,L,UVALDE,N,EDWARDS-BFZ AQUIFER | UVALDE,1672,1672,1672,1672,1672,1672
643,806,"COUNTY-OTHER, UVALDE",MUNICIPAL,L,UVALDE,N,TRINITY AQUIFER | UVALDE,140,140,140,140,140,140
643,889,"COUNTY-OTHER, UVALDE",MUNICIPAL,L,UVALDE,N,BUDA LIMESTONE AQUIFER | UVALDE,525,525,525,525,525,525
643,959,"COUNTY-OTHER, UVALDE",MUNICIPAL,L,UVALDE,N,LEONA GRAVEL AQUIFER | UVALDE,150,150,150,150,150,150
644,258,"COUNTY-OTHER, VAL VERDE",MUNICIPAL,J,VAL VERDE,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | VAL VERDE",2632,2632,2632,2632,2632,2632
