EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,SourceType,WmsId,WmsSponsorRegion,WmsName,WmsType,SS2030,SS2040,SS2050,SS2060,SS2070,SS2080
540,,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,DEMAND REDUCTION,DEMAND REDUCTION,2131,C,"CONSERVATION, WATER LOSS CONTROL - KAUFMAN COUNTY",MUNICIPAL CONSERVATION,7,8,11,13,17,19
540,71,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,CARRIZO-WILCOX AQUIFER | ANDERSON,GROUNDWATER,4745,C,TRWD - CARRIZO-WILCOX GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,8,8,5,5
540,88,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,CARRIZO-WILCOX AQUIFER | FREESTONE,GROUNDWATER,4745,C,TRWD - CARRIZO-WILCOX GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,3,3,1,1
540,279,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,FORK LAKE/RESERVOIR,SURFACE WATER,6291,C,NTMWD - INTERIM UPPER SABINE BASIN ,OTHER SURFACE WATER,45,0,0,0,0,0
540,390,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,REUSE,2418,C,NTMWD - EXPANDED WETLAND REUSE,INDIRECT REUSE,47,39,82,117,89,97
540,390,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,REUSE,2467,C,TRWD - MARTY LEONARD (CEDAR CREEK) WETLANDS,INDIRECT REUSE,10,14,14,18,16,20
540,390,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,REUSE,4746,C,TRWD - REUSE FROM TRA CENTRAL RWS,INDIRECT REUSE,0,28,33,38,25,25
540,390,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,REUSE,4750,C,NTMWD - ADDITIONAL LAVON WATERSHED REUSE,INDIRECT REUSE,0,25,86,154,115,128
540,390,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,REUSE,5982,C,TRWD - REUSE FROM MARY'S CREEK WRF,INDIRECT REUSE,11,13,11,13,10,11
540,390,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,REUSE,5994,C,TRWD - ADDITIONAL RICHLAND CHAMBERS REUSE,INDIRECT REUSE,63,51,45,40,27,23
540,425,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,MARVIN NICHOLS LAKE/RESERVOIR,SURFACE WATER,2429,C,"MARVIN NICHOLS (328) STRATEGY FOR NTMWD, TRWD, AND UTRWD",NEW MAJOR RESERVOIR,0,0,0,0,454,486
540,457,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,O' THE PINES LAKE/RESERVOIR,SURFACE WATER,5871,C,NTMWD - LAKE O' THE PINES (CYPRESS BASIN SUPPLIES),OTHER SURFACE WATER,0,90,137,154,97,97
540,457,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,O' THE PINES LAKE/RESERVOIR,SURFACE WATER,5873,C,NTMWD - LAKE O' THE PINES (MANUFACTURING MORRIS),OTHER SURFACE WATER,0,68,108,126,85,93
540,609,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,QUEEN CITY AQUIFER | ANDERSON,GROUNDWATER,4745,C,TRWD - CARRIZO-WILCOX GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,7,6,5,5
540,740,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TEHUACANA LAKE/RESERVOIR,SURFACE WATER,2182,C,TRWD - TEHUACANA,NEW MAJOR RESERVOIR,0,0,15,14,10,10
540,748,"COUNTY-OTHER, KAUFMAN",MUNICIPAL,C,KAUFMAN,N,TOLEDO BEND LAKE/RESERVOIR,SURFACE WATER,7192,C,"TOLEDO BEND RESERVOIR FOR TRWD, NTMWD AND UTRWD",OTHER SURFACE WATER,0,0,0,0,305,327
