EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2030,N2040,N2050,N2060,N2070,N2080
191,ANTHONY,MUNICIPAL,E,EL PASO,N,0,0,0,0,0,0
192,ANTON,MUNICIPAL,O,HOCKLEY,N,0,0,0,0,0,0
193,APPLEBY WSC,MUNICIPAL,I,NACOGDOCHES,N,0,0,0,0,0,0
194,AQUA WSC,MUNICIPAL,G,LEE,Y,0,0,0,0,0,0
194,AQUA WSC,MUNICIPAL,K,BASTROP,Y,3446,6815,10744,15214,20273,26002
194,AQUA WSC,MUNICIPAL,K,TRAVIS,Y,101,182,296,374,468,579
194,AQUA WSC,MUNICIPAL,L,CALDWELL,Y,18,26,33,43,54,67
195,ARANSAS PASS,MUNICIPAL,N,ARANSAS,Y,0,0,0,0,0,0
195,ARANSAS PASS,MUNICIPAL,N,SAN PATRICIO,Y,0,0,0,0,0,0
196,ARCHER CITY,MUNICIPAL,B,ARCHER,N,0,0,0,0,0,0
199,ARGYLE WSC,MUNICIPAL,C,DENTON,N,0,709,1699,2446,3138,3695
200,ARLINGTON,MUNICIPAL,C,TARRANT,N,10246,19443,25379,32285,38920,43695
201,ARP,MUNICIPAL,I,SMITH,N,0,0,0,0,0,0
202,ASHERTON,MUNICIPAL,L,DIMMIT,N,0,0,0,0,0,0
203,ASPERMONT,MUNICIPAL,G,STONEWALL,N,37,28,19,8,0,0
204,ATASCOSA RURAL WSC,MUNICIPAL,L,BEXAR,N,1201,1464,1706,1917,2159,2436
205,ATHENS,MUNICIPAL,C,HENDERSON,Y,0,0,360,1044,2061,2683
205,ATHENS,MUNICIPAL,I,HENDERSON,Y,0,0,4,9,15,18
206,ATLANTA,MUNICIPAL,D,CASS,N,0,0,0,0,0,0
207,AUBREY,MUNICIPAL,C,DENTON,N,204,626,1369,1809,2471,2604
209,AZLE,MUNICIPAL,C,PARKER,Y,168,268,384,509,655,823
209,AZLE,MUNICIPAL,C,TARRANT,Y,649,912,1146,1340,1545,1763
210,BACLIFF MUD,MUNICIPAL,H,GALVESTON,N,0,0,0,0,0,0
212,BAIRD,MUNICIPAL,G,CALLAHAN,N,232,231,228,225,221,217
213,BALCH SPRINGS,MUNICIPAL,C,DALLAS,N,222,366,548,717,920,1071
215,BALLINGER,MUNICIPAL,F,RUNNELS,N,365,390,432,469,499,530
217,BANDERA,MUNICIPAL,J,BANDERA,N,0,0,0,0,0,0
218,BANGS,MUNICIPAL,F,BROWN,N,0,0,0,0,0,0
220,BARTLETT,MUNICIPAL,G,BELL,Y,1,0,0,0,0,0
220,BARTLETT,MUNICIPAL,G,WILLIAMSON,Y,1,0,0,0,0,0
221,BARTON CREEK WEST WSC,MUNICIPAL,K,TRAVIS,N,0,0,0,0,0,0
223,CROSS TIMBERS WSC,MUNICIPAL,C,DENTON,N,195,756,1328,1731,2231,3032
224,BASTROP,MUNICIPAL,K,BASTROP,N,0,0,0,0,0,0
225,BASTROP COUNTY WCID 2,MUNICIPAL,K,BASTROP,N,9,117,248,397,565,756
226,BAY CITY,MUNICIPAL,K,MATAGORDA,N,0,0,0,0,0,0
227,GALVESTON COUNTY MUD 12,MUNICIPAL,H,GALVESTON,N,0,0,0,0,0,0
228,BAYTOWN,MUNICIPAL,H,CHAMBERS,Y,0,0,0,0,0,0
228,BAYTOWN,MUNICIPAL,H,HARRIS,Y,0,0,0,0,0,0
231,BECKVILLE,MUNICIPAL,I,PANOLA,N,0,0,0,0,0,0
232,BEDFORD,MUNICIPAL,C,TARRANT,N,1275,2402,2993,3821,4326,4717
234,BEEVILLE,MUNICIPAL,N,BEE,N,0,0,0,0,0,0
235,BELL MILAM FALLS WSC,MUNICIPAL,G,BELL,Y,0,0,0,0,0,0
235,BELL MILAM FALLS WSC,MUNICIPAL,G,FALLS,Y,0,0,0,0,0,0
235,BELL MILAM FALLS WSC,MUNICIPAL,G,MILAM,Y,0,0,0,0,0,0
235,BELL MILAM FALLS WSC,MUNICIPAL,G,WILLIAMSON,Y,0,0,0,0,0,0
236,BELLAIRE,MUNICIPAL,H,HARRIS,N,0,0,0,0,0,0
237,BELLMEAD,MUNICIPAL,G,MCLENNAN,N,0,0,0,0,0,0
238,BELLS,MUNICIPAL,C,GRAYSON,N,72,87,100,112,125,139
239,BELLVILLE,MUNICIPAL,H,AUSTIN,N,0,0,0,0,0,0
240,BELTON,MUNICIPAL,G,BELL,N,0,0,379,1341,2141,2706
241,DUVAL COUNTY CRD,MUNICIPAL,N,DUVAL,N,0,0,0,0,0,0
242,BENBROOK WATER AUTHORITY,MUNICIPAL,C,TARRANT,N,760,1434,1888,2445,2948,3408
243,BENTON CITY WSC,MUNICIPAL,L,ATASCOSA,Y,0,18,170,264,374,503
243,BENTON CITY WSC,MUNICIPAL,L,FRIO,Y,0,2,19,28,37,47
243,BENTON CITY WSC,MUNICIPAL,L,MEDINA,Y,0,7,63,94,128,166
244,BERRYVILLE,MUNICIPAL,I,ANDERSON,Y,0,0,0,0,0,0
244,BERRYVILLE,MUNICIPAL,I,HENDERSON,Y,0,0,0,0,0,0
245,BERTRAM,MUNICIPAL,K,BURNET,N,628,964,1256,1592,1970,2397
246,BETHANY SUD,MUNICIPAL,G,JOHNSON,N,0,0,0,0,0,0
247,BETHEL ASH WSC,MUNICIPAL,C,HENDERSON,Y,0,0,0,0,0,0
247,BETHEL ASH WSC,MUNICIPAL,D,VAN ZANDT,Y,0,0,0,0,0,0
247,BETHEL ASH WSC,MUNICIPAL,I,HENDERSON,Y,0,0,0,0,0,0
248,BETHESDA WSC,MUNICIPAL,C,TARRANT,Y,9,16,20,26,33,38
248,BETHESDA WSC,MUNICIPAL,G,JOHNSON,Y,828,1607,2270,3091,3947,4862
250,BEVIL OAKS,MUNICIPAL,I,JEFFERSON,N,0,0,0,0,0,0
252,BIG LAKE,MUNICIPAL,F,REAGAN,N,0,0,0,0,0,0
254,BIG SANDY,MUNICIPAL,D,UPSHUR,N,19,20,20,16,12,8
255,BIG SPRING,MUNICIPAL,F,HOWARD,N,0,497,1282,1865,2211,2507
256,BIG WELLS,MUNICIPAL,L,DIMMIT,N,0,0,0,0,0,0
257,BISHOP,MUNICIPAL,N,NUECES,N,0,0,0,0,0,0
258,BISTONE MUNICIPAL WATER SUPPLY DISTRICT,MUNICIPAL,G,LIMESTONE,N,0,58,143,147,127,197
259,THE BITTER CREEK WSC,MUNICIPAL,G,FISHER,Y,58,55,53,52,51,50
259,THE BITTER CREEK WSC,MUNICIPAL,G,NOLAN,Y,80,90,102,115,129,149
260,BLACKLAND WSC,MUNICIPAL,C,ROCKWALL,N,79,209,341,485,578,661
261,BLANCO,MUNICIPAL,K,BLANCO,N,0,0,0,0,0,0
263,BLOOMING GROVE,MUNICIPAL,C,NAVARRO,N,0,4,16,27,41,56
264,BLOSSOM,MUNICIPAL,D,LAMAR,N,0,0,0,0,0,0
265,BLUE BELL MANOR UTILITY,MUNICIPAL,H,HARRIS,N,0,84,94,99,93,93
267,BLUE RIDGE,MUNICIPAL,C,COLLIN,N,0,0,59,156,263,381
268,BOERNE,MUNICIPAL,L,KENDALL,N,0,760,3365,6388,9850,13812
269,BOGATA,MUNICIPAL,D,RED RIVER,N,0,0,0,0,0,0
271,BOLIVAR WSC,MUNICIPAL,C,COOKE,Y,63,104,134,158,184,206
271,BOLIVAR WSC,MUNICIPAL,C,DENTON,Y,312,603,916,1240,1711,2324
271,BOLIVAR WSC,MUNICIPAL,C,WISE,Y,31,53,73,88,106,125
272,BONHAM,MUNICIPAL,C,FANNIN,N,0,0,0,894,2393,3725
273,BOOKER,MUNICIPAL,A,LIPSCOMB,Y,73,81,91,101,106,112
273,BOOKER,MUNICIPAL,A,OCHILTREE,Y,2,2,2,2,2,2
274,BOVINA,MUNICIPAL,O,PARMER,N,0,0,0,0,0,0
275,BOWIE,MUNICIPAL,B,MONTAGUE,N,102,246,395,545,696,847
276,BOYD,MUNICIPAL,C,WISE,N,17,82,194,296,393,458
277,BRACKETTVILLE,MUNICIPAL,J,KINNEY,N,0,0,0,0,0,0
278,BRADY,MUNICIPAL,F,MCCULLOCH,N,0,0,0,0,0,0
279,BRANDON IRENE WSC,MUNICIPAL,C,NAVARRO,Y,0,0,0,0,0,0
279,BRANDON IRENE WSC,MUNICIPAL,G,HILL,Y,62,81,95,111,139,170
280,BRAZORIA,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
282,BRAZORIA COUNTY MUD 2,MUNICIPAL,H,BRAZORIA,N,52,92,125,159,188,213
283,BRAZORIA COUNTY MUD 3,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
286,BRECKENRIDGE,MUNICIPAL,G,STEPHENS,N,0,0,0,0,0,0
287,BREMOND,MUNICIPAL,G,ROBERTSON,N,0,0,0,0,0,0
288,BRENHAM,MUNICIPAL,G,WASHINGTON,N,0,0,0,0,80,195
290,BRIDGE CITY,MUNICIPAL,I,ORANGE,N,0,0,0,0,0,0
291,BRIDGEPORT,MUNICIPAL,C,WISE,N,136,241,303,371,426,471
295,BROOKESMITH SUD,MUNICIPAL,F,BROWN,Y,0,0,0,0,0,0
295,BROOKESMITH SUD,MUNICIPAL,F,COLEMAN,Y,0,0,0,0,0,0
296,BROOKSHIRE MWD,MUNICIPAL,H,WALLER,N,0,0,0,0,0,0
298,BROWNFIELD,MUNICIPAL,O,TERRY,N,0,0,0,81,118,159
299,BROWNSBORO,MUNICIPAL,I,HENDERSON,N,0,0,0,0,0,0
300,BROWNSVILLE,MUNICIPAL,M,CAMERON,N,0,0,0,0,0,0
301,BROWNWOOD,MUNICIPAL,F,BROWN,N,0,0,0,0,0,0
302,BRUCEVILLE EDDY,MUNICIPAL,G,FALLS,Y,0,19,51,84,119,189
302,BRUCEVILLE EDDY,MUNICIPAL,G,MCLENNAN,Y,89,143,245,354,470,555
303,BRUSHY CREEK MUD,MUNICIPAL,G,WILLIAMSON,Y,773,802,833,854,875,895
303,BRUSHY CREEK MUD,MUNICIPAL,K,WILLIAMSON,Y,17,17,18,18,18,19
304,BRUSHY CREEK WSC,MUNICIPAL,C,HENDERSON,Y,0,0,0,0,0,0
304,BRUSHY CREEK WSC,MUNICIPAL,I,ANDERSON,Y,0,0,0,0,0,0
304,BRUSHY CREEK WSC,MUNICIPAL,I,HENDERSON,Y,0,0,0,0,0,0
305,BRYAN,MUNICIPAL,G,BRAZOS,N,12612,12739,16768,21595,29704,40011
307,BUDA,MUNICIPAL,K,HAYS,N,0,41,906,1766,2765,3923
308,BUENA VISTA-BETHEL SUD,MUNICIPAL,C,ELLIS,N,344,427,547,747,995,1290
309,BUFFALO,MUNICIPAL,H,LEON,N,0,0,0,0,0,0
310,BULLARD,MUNICIPAL,I,CHEROKEE,Y,0,0,0,0,0,0
310,BULLARD,MUNICIPAL,I,SMITH,Y,0,0,0,0,0,0
312,BUNKER HILL VILLAGE,MUNICIPAL,H,HARRIS,N,0,0,0,1,0,0
313,BURKBURNETT,MUNICIPAL,B,WICHITA,N,0,0,0,0,0,0
314,BURLESON,MUNICIPAL,C,TARRANT,Y,208,407,543,701,847,988
314,BURLESON,MUNICIPAL,G,JOHNSON,Y,913,1871,2634,3572,4526,5525
315,BURNET,MUNICIPAL,K,BURNET,N,0,0,0,0,0,0
317,CADDO BASIN SUD,MUNICIPAL,C,COLLIN,Y,24,323,780,1103,1366,1500
317,CADDO BASIN SUD,MUNICIPAL,D,HUNT,Y,174,392,695,879,963,1115
318,CADDO MILLS,MUNICIPAL,D,HUNT,N,0,0,0,0,0,0
319,CALDWELL,MUNICIPAL,G,BURLESON,N,0,0,0,0,0,0
321,CALVERT,MUNICIPAL,G,ROBERTSON,N,0,0,0,0,0,0
322,CAMERON,MUNICIPAL,G,MILAM,N,1265,1242,1200,1161,1121,1079
323,CAMP WOOD,MUNICIPAL,J,REAL,N,147,124,106,92,78,64
326,CANADIAN,MUNICIPAL,A,HEMPHILL,N,0,0,0,0,0,0
